time_iso8601,forks_cumulative
2023-06-21 00:00:00+00:00,1
2023-08-16 00:00:00+00:00,2
2024-01-16 00:00:00+00:00,3
2024-03-29 00:00:00+00:00,4
2024-04-03 00:00:00+00:00,5
2024-04-05 00:00:00+00:00,6
2024-05-26 00:00:00+00:00,7
2024-08-09 00:00:00+00:00,8
2024-09-21 00:00:00+00:00,9
2024-12-20 00:00:00+00:00,10
2024-12-23 00:00:00+00:00,11
2024-12-25 00:00:00+00:00,12
2025-06-29 00:00:00+00:00,13
2025-07-18 00:00:00+00:00,14
2025-08-26 00:00:00+00:00,15
2025-11-30 00:00:00+00:00,16
2025-12-02 00:00:00+00:00,17
2026-01-20 00:00:00+00:00,18
2026-02-04 00:00:00+00:00,19
