url_path,views_total,views_unique
/vishal2376/git-coach,149,124
/vishal2376/git-coach/blob/master/screenshots/lesson.jpg,63,30
/vishal2376/git-coach/tree/master/app/src/main/java/com/vishal2376/gitcoach,30,7
/vishal2376/git-coach/tree/master/app,28,10
/vishal2376/git-coach/tree/master/app/src,28,9
/vishal2376/git-coach/tree/master/app/src/main,28,9
/vishal2376/git-coach/blob/master/screenshots/cmdR.jpg,14,7
/vishal2376/git-coach/releases/tag/v5.1,13,11
/vishal2376/git-coach/tree/master/app/src/main/java/com/vishal2376/gitcoach/models,13,3
/vishal2376/git-coach/tree/master/app/src/main/java/com/vishal2376/gitcoach/fragments,9,2
