time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-13 00:00:00+00:00,6.0,4.0,,
2024-12-14 00:00:00+00:00,5.0,2.0,3.0,2.0
2024-12-15 00:00:00+00:00,,,2.0,2.0
2024-12-16 00:00:00+00:00,,,6.0,5.0
2024-12-17 00:00:00+00:00,,,14.0,3.0
2024-12-18 00:00:00+00:00,2.0,1.0,3.0,3.0
2024-12-19 00:00:00+00:00,4.0,2.0,10.0,2.0
2024-12-20 00:00:00+00:00,5.0,3.0,2.0,2.0
2024-12-21 00:00:00+00:00,,,5.0,4.0
2024-12-22 00:00:00+00:00,2.0,1.0,9.0,2.0
2024-12-23 00:00:00+00:00,5.0,3.0,33.0,6.0
2024-12-24 00:00:00+00:00,4.0,3.0,10.0,7.0
2024-12-25 00:00:00+00:00,4.0,4.0,2.0,1.0
2024-12-26 00:00:00+00:00,1.0,1.0,7.0,5.0
