time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-14 00:00:00+00:00,0,0,2,2
2024-06-15 00:00:00+00:00,0,0,2,1
2024-06-16 00:00:00+00:00,0,0,24,2
2024-06-17 00:00:00+00:00,1,1,71,5
2024-06-18 00:00:00+00:00,10,3,20,6
2024-06-19 00:00:00+00:00,1,1,43,4
2024-06-20 00:00:00+00:00,0,0,11,2
2024-06-21 00:00:00+00:00,0,0,7,3
2024-06-22 00:00:00+00:00,0,0,23,3
2024-06-23 00:00:00+00:00,0,0,35,9
2024-06-24 00:00:00+00:00,0,0,41,10
2024-06-25 00:00:00+00:00,0,0,6,2
2024-06-26 00:00:00+00:00,0,0,10,6
2024-06-27 00:00:00+00:00,0,0,5,3
2024-06-28 00:00:00+00:00,3,3,28,5
2024-06-29 00:00:00+00:00,2,1,19,5
2024-06-30 00:00:00+00:00,0,0,58,6
2024-07-01 00:00:00+00:00,5,4,20,2
2024-07-02 00:00:00+00:00,0,0,30,6
2024-07-03 00:00:00+00:00,0,0,5,2
2024-07-04 00:00:00+00:00,4,1,16,9
2024-07-05 00:00:00+00:00,0,0,106,46
2024-07-06 00:00:00+00:00,0,0,3,2
2024-07-07 00:00:00+00:00,3,2,9,5
2024-07-08 00:00:00+00:00,3,2,36,15
2024-07-09 00:00:00+00:00,0,0,47,10
2024-07-10 00:00:00+00:00,0,0,5,5
2024-07-12 00:00:00+00:00,1,1,1,1
2024-07-13 00:00:00+00:00,0,0,13,4
2024-07-14 00:00:00+00:00,0,0,6,5
2024-07-15 00:00:00+00:00,2,1,8,4
2024-07-16 00:00:00+00:00,1,1,4,3
2024-07-18 00:00:00+00:00,0,0,2,2
2024-07-19 00:00:00+00:00,1,1,28,9
2024-07-20 00:00:00+00:00,0,0,7,4
2024-07-21 00:00:00+00:00,2,1,6,4
2024-07-22 00:00:00+00:00,0,0,1,1
2024-07-24 00:00:00+00:00,0,0,10,5
2024-07-25 00:00:00+00:00,2,2,0,0
2024-07-26 00:00:00+00:00,0,0,11,6
2024-07-27 00:00:00+00:00,2,2,8,6
2024-07-28 00:00:00+00:00,1,1,4,2
2024-07-29 00:00:00+00:00,2,1,3,1
2024-07-30 00:00:00+00:00,4,2,13,8
2024-07-31 00:00:00+00:00,1,1,224,35
2024-08-01 00:00:00+00:00,1,1,97,24
2024-08-02 00:00:00+00:00,1,1,37,9
2024-08-03 00:00:00+00:00,0,0,40,13
2024-08-04 00:00:00+00:00,2,1,41,12
2024-08-05 00:00:00+00:00,1,1,99,9
2024-08-06 00:00:00+00:00,0,0,9,5
2024-08-07 00:00:00+00:00,2,2,7,3
2024-08-08 00:00:00+00:00,0,0,16,6
2024-08-09 00:00:00+00:00,2,2,16,5
2024-08-10 00:00:00+00:00,3,3,15,7
2024-08-11 00:00:00+00:00,2,1,7,6
2024-08-12 00:00:00+00:00,3,1,32,6
2024-08-13 00:00:00+00:00,3,3,21,14
2024-08-14 00:00:00+00:00,1,1,46,7
2024-08-15 00:00:00+00:00,0,0,25,6
2024-08-16 00:00:00+00:00,1,1,144,6
2024-08-17 00:00:00+00:00,0,0,3,3
2024-08-18 00:00:00+00:00,5,2,0,0
2024-08-19 00:00:00+00:00,1,1,5,3
2024-08-20 00:00:00+00:00,6,2,12,9
2024-08-21 00:00:00+00:00,2,2,5,5
2024-08-22 00:00:00+00:00,0,0,4,4
2024-08-23 00:00:00+00:00,4,2,18,8
2024-08-24 00:00:00+00:00,0,0,6,5
2024-08-25 00:00:00+00:00,2,1,7,4
2024-08-26 00:00:00+00:00,0,0,1,1
